Unit: $/MW,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
hard coal,4551667,4246806,4213877,4182010,4122525,4063040,4004617,3946194,3888834,3831473,3774112,3717814,3662578,3580786,3501119,3422513,3343908,3266365,3237685,3210067,3181387,3152706,3125088,3096408,3067728,3040110,3011429,2982749,2955131,2926451,
natural gas steam turbine,916782,912668,910262,899673,895960,895970,892100,884788,880461,876919,873110,870301,865916,861070,857397,853644,849376,845543,842020,838792,835007,830637,827225,823947,820611,817935,814471,810503,806431,802612,
natural gas combined cycle,916782,912668,910262,899673,895960,895970,892100,884788,880461,876919,873110,870301,865916,861070,857397,853644,849376,845543,842020,838792,835007,830637,827225,823947,820611,817935,814471,810503,806431,802612,
nuclear,6560198,6518943,6477687,6286448,6245693,6232949,6219985,6206804,6193400,6179772,6138085,6096398,6054716,6013026,5971341,5929655,5887972,5846286,5804602,5762917,5721228,5679541,5637856,5596170,5554490,5512804,5471118,5429429,5387744,5346059,
hydro,10975590,10975590,10975590,10975590,10975590,10577510,10178418,9778313,9377194,8975060,8561319,8147577,7733835,7320093,6906352,6906352,6906352,6906352,6906352,6630097,6630097,6630097,6630097,6630097,6630097,6630097,6630097,6630097,6630097,6630097,
onshore wind,1296956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
solar PV,1182751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
solar thermal,5579156,5386867,5194578,5003213,4810924,4625300,4438276,4250778,4063734,3875287,3855752,3835287,3815753,3795288,3775753,3755289,3735754,3715289,3695755,3675290,3655755,3636221,3615756,3596221,3575757,3556222,3535757,3516223,3495758,3476223,
biomass,3892799,3867976,3843153,3818580,3793470,3777627,3761688,3745656,3729529,3713307,3688454,3663601,3638750,3613895,3589044,3564191,3539341,3514488,3489637,3464785,3439930,3415078,3390226,3365374,3340525,3315672,3290820,3265966,3241114,3216262,
geothermal,5888724,5786972,5685685,5584864,5484508,5384618,5285193,5186233,5087739,4989710,4964762,4939938,4915238,4890662,4866209,4841878,4817668,4793580,4769612,4745764,4722035,4698425,4674933,4651558,4628300,4605159,4582133,4559222,4536426,4513744,
petroleum,810623,803144,798828,782648,773697,771063,765749,754168,748100,743789,739784,736626,732134,727254,723366,719411,715021,710999,707238,703723,699742,695271,691603,688045,684438,681381,677666,673532,669312,665303,
natural gas peaker,810623,803144,798828,782648,773697,771063,765749,754168,748100,743789,739784,736626,732134,727254,723366,719411,715021,710999,707238,703723,699742,695271,691603,688045,684438,681381,677666,673532,669312,665303,
lignite,5275119,4921803,4883640,4846708,4777768,4708829,4641120,4573411,4506934,4440456,4373979,4308732,4244717,4149924,4057595,3966496,3875397,3785529,3752290,3720282,3687044,3653805,3621797,3588558,3555319,3523312,3490073,3456834,3424826,3391588,
offshore wind,3952482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
crude oil,810623,803144,798828,782648,773697,771063,765749,754168,748100,743789,739784,736626,732134,727254,723366,719411,715021,710999,707238,703723,699742,695271,691603,688045,684438,681381,677666,673532,669312,665303,
heavy or residual fuel oil,810623,803144,798828,782648,773697,771063,765749,754168,748100,743789,739784,736626,732134,727254,723366,719411,715021,710999,707238,703723,699742,695271,691603,688045,684438,681381,677666,673532,669312,665303,
municipal solid waste,1397288,1397288,1388378,1379468,1370648,1361635,1355948,1350227,1344472,1338684,1332861,1323940,1315019,1306100,1297178,1288258,1279337,1270417,1261497,1252576,1243656,1234735,1225814,1216894,1207973,1199054,1190133,1181213,1172292,1163371,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
