Variable O&M ($/MWh),preexisting retiring,preexisting nonretiring,newly built,,,New Value/Old Value (preexisting retiring),preexisting nonretiring,New Value/Old Value (newly built)
coal,1.52,0,6.33,,,34%,,100%
natural gas nonpeaker,3.60,0,1.98,,,109%,,85%
nuclear,0.15,0,2.12,,,7%,,100%
hydro,0.00,0,0.00,,,0%,,0%
onshore wind,0,0,0,,,#DIV/0!,,#DIV/0!
solar PV,0,0,0,,,#DIV/0!,,#DIV/0!
solar thermal,0,0,4,,,#DIV/0!,,#DIV/0!
biomass,6.95,0,4.32,,,161%,,100%
geothermal,0,0,0,,,0%,,0%
petroleum,2.21,0,2.21,,,67%,,54%
natural gas peaker,7.30,0,4.11,,,221%,,100%
lignite,2.58,0,10.73,,,34%,,100%
offshore wind,0,0,0,,,#DIV/0!,,#DIV/0!
crude oil,2.21,0,2.21,,,67%,,54%
heavy or residual fuel oil,2.21,0,2.21,,,67%,,54%
municipal solid waste,6.75,0,5.54,,,122%,,100%
,,,,,,,,
,,,,,,,,
Variable O&M ($/MWh),preexisting retiring,preexisting nonretiring,newly built,,,,,
coal,4.40742,0,6.3309,,,,,
natural gas nonpeaker,3.300623,0,2.322322,,,,,
nuclear,2.11928,0,2.11928,,,,,
hydro,1.24822,0,1.24822,,,,,
onshore wind,0,0,0,,,,,
solar PV,0,0,0,,,,,
solar thermal,0,0,0,,,,,
biomass,4.31938,0,4.31938,,,,,
geothermal,1.060588,0,1.060588,,,,,
petroleum,3.300623,0,4.096064,,,,,
natural gas peaker,3.300623,0,4.096064,,,,,
lignite,7.466688,0,10.72528941,,,,,
offshore wind,0,0,0,,,,,
crude oil,3.300623,0,4.096064,,,,,
heavy or residual fuel oil,3.300623,0,4.096064,,,,,
municipal solid waste,5.54066,0,5.54066,,,,,
