Unit: 1/($/(MWh)),Fraction of start year capacity
hard coal,0.0125
natural gas steam turbine,0.0001
natural gas combined cycle,0.0125
nuclear,0.0125
hydro,0.0125
onshore wind,0.0125
solar PV,0.0125
solar thermal,0.0125
biomass,0.0125
geothermal,0.0125
petroleum,0.0001
natural gas peaker,0.0001
lignite,0.0125
offshore wind,0.0125
crude oil,0.0125
heavy or residual fuel oil,0.0125
municipal solid waste,0.0125
hard coal w CCS,0.0125
natural gas combined cycle w CCS,0.0125
biomass w CCS,0.0125
lignite w CCS,0.0125
small modular reactor,0.0125
hydrogen,0.0125
