Unit: dimensionless (ratio of electricity demand in this hour to annual demand),Hour0,Hour1,Hour2,Hour3,Hour4,Hour5,Hour6,Hour7,Hour8,Hour9,Hour10,Hour11,Hour12,Hour13,Hour14,Hour15,Hour16,Hour17,Hour18,Hour19,Hour20,Hour21,Hour22,Hour23
Winter,2.3314E-05,2.8576E-05,3.3525E-05,3.7867E-05,4.2656E-05,4.5716E-05,4.7513E-05,3.9687E-05,3.4816E-05,3.2339E-05,2.8892E-05,2.5415E-05,2.4178E-05,2.4306E-05,2.3757E-05,2.4826E-05,2.5183E-05,2.5969E-05,2.5114E-05,2.3884E-05,2.2799E-05,2.2358E-05,2.2598E-05,2.3480E-05
Spring,1.4275E-04,1.0967E-04,8.9343E-05,7.5986E-05,6.5439E-05,6.3901E-05,6.6476E-05,7.6717E-05,8.9358E-05,1.0774E-04,1.3359E-04,1.6807E-04,2.0279E-04,2.4344E-04,2.8435E-04,3.1937E-04,3.5117E-04,3.7985E-04,3.8612E-04,3.6810E-04,3.3503E-04,2.9001E-04,2.4152E-04,1.9400E-04
Summer,2.0311E-04,1.6125E-04,1.3279E-04,1.1232E-04,9.7436E-05,8.9041E-05,8.5609E-05,1.0090E-04,1.1774E-04,1.4014E-04,1.7870E-04,2.1504E-04,2.4727E-04,2.8007E-04,3.0932E-04,3.3406E-04,3.5738E-04,3.7933E-04,3.8241E-04,3.6400E-04,3.3550E-04,3.0034E-04,2.5919E-04,2.1970E-04
Fall,5.0144E-05,6.3931E-05,7.4434E-05,8.5169E-05,9.5573E-05,1.0311E-04,1.0681E-04,9.8242E-05,8.6228E-05,8.0145E-05,7.4203E-05,6.8090E-05,5.8147E-05,5.2528E-05,4.5946E-05,4.2974E-05,4.1796E-05,4.2460E-05,4.0253E-05,3.6277E-05,3.7475E-05,3.9794E-05,4.6243E-05,5.6424E-05
Summer Peak,2.6015E-04,2.1595E-04,1.8138E-04,1.5423E-04,1.3382E-04,1.2230E-04,1.1752E-04,1.3736E-04,1.6316E-04,1.9998E-04,2.5674E-04,3.1080E-04,3.5617E-04,4.0264E-04,4.4837E-04,4.9209E-04,5.3340E-04,5.7359E-04,5.8804E-04,5.5850E-04,5.0694E-04,4.5141E-04,3.9080E-04,3.3092E-04
Winter Peak,1.1574E-05,1.3583E-05,1.5335E-05,1.6762E-05,1.8185E-05,1.9068E-05,1.9272E-05,1.6586E-05,1.4402E-05,1.3428E-05,1.2487E-05,1.0642E-05,9.4506E-06,8.8029E-06,7.6060E-06,7.1951E-06,6.9196E-06,7.0831E-06,6.5642E-06,6.5230E-06,6.8341E-06,6.9319E-06,7.9829E-06,9.5744E-06
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
