Unit: dimensionless (% of costs),Share of costs covered to be deemed profitable
hard coal,1.075
natural gas steam turbine,1.075
natural gas combustion turbine,1.075
nuclear,1.075
hydro,1.075
onshore wind,1.075
solar pv,1.075
solar thermal,1.075
biomass,1.075
geothermal,1.075
petroleum,1.075
natural gas peaker,1.075
lignite,1.075
offshore wind,1.075
crude oil,1.075
heavy or residual fuel oil,1.075
municipal solid waste,1.075
hard coal w CCS,1.075
natural gas combined cycle w CCS,1.075
biomass w CCS,1.075
lignite w CCS,1.075
small modular reactor,1.075
hydrogen combustion turbine,1.075
hydrogen combined cycle,1.075
