Unit: BTU,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,,
agriculture and forestry 01T03,9.34967E+13,1.19742E+14,1.17097E+14,1.16696E+14,1.16877E+14,1.1738E+14,1.17749E+14,1.17927E+14,1.18155E+14,1.18247E+14,1.18399E+14,1.19107E+14,1.1929E+14,1.19576E+14,1.19869E+14,1.20078E+14,1.2055E+14,1.20605E+14,1.20113E+14,1.19671E+14,1.19224E+14,1.18846E+14,1.18501E+14,1.1816E+14,1.17896E+14,1.17667E+14,1.17447E+14,1.17298E+14,1.17223E+14,1.17141E+14,,,
coal mining 05,1.49503E+14,1.73617E+14,1.68118E+14,1.66405E+14,1.66334E+14,1.65896E+14,1.64586E+14,1.64296E+14,1.63724E+14,1.63267E+14,1.62574E+14,1.62237E+14,1.62043E+14,1.61807E+14,1.61859E+14,1.61675E+14,1.61692E+14,1.61636E+14,1.61061E+14,1.6122E+14,1.61449E+14,1.61673E+14,1.62279E+14,1.62683E+14,1.62946E+14,1.62478E+14,1.62046E+14,1.62273E+14,1.62453E+14,1.62403E+14,,,
oil and gas extraction 06,2.03657E+15,2.20695E+15,2.21712E+15,2.20033E+15,2.23496E+15,2.28735E+15,2.31447E+15,2.38031E+15,2.40331E+15,2.42838E+15,2.43681E+15,2.46876E+15,2.49336E+15,2.50158E+15,2.51716E+15,2.52362E+15,2.54205E+15,2.56513E+15,2.56781E+15,2.5862E+15,2.60466E+15,2.62596E+15,2.64667E+15,2.66904E+15,2.67134E+15,2.66732E+15,2.66205E+15,2.6945E+15,2.71563E+15,2.71775E+15,,,
other mining and quarrying 07T08,2.09403E+14,2.43178E+14,2.35477E+14,2.33077E+14,2.32977E+14,2.32363E+14,2.30529E+14,2.30122E+14,2.29322E+14,2.28682E+14,2.2771E+14,2.27238E+14,2.26967E+14,2.26636E+14,2.2671E+14,2.26451E+14,2.26476E+14,2.26397E+14,2.25591E+14,2.25814E+14,2.26135E+14,2.26448E+14,2.27298E+14,2.27863E+14,2.28231E+14,2.27576E+14,2.26971E+14,2.27289E+14,2.27541E+14,2.27471E+14,,,
food beverage and tobacco 10T12,9.15678E+14,8.55359E+14,8.5857E+14,8.72136E+14,8.73792E+14,8.77926E+14,8.77305E+14,8.69497E+14,8.60384E+14,8.5047E+14,8.43044E+14,8.37159E+14,8.31791E+14,8.29616E+14,8.29379E+14,8.30277E+14,8.29078E+14,8.26988E+14,8.25302E+14,8.27061E+14,8.30134E+14,8.33499E+14,8.36939E+14,8.40968E+14,8.4518E+14,8.49183E+14,8.53111E+14,8.58332E+14,8.64061E+14,8.6898E+14,,,
textiles apparel and leather 13T15,1.04367E+14,1.03872E+14,9.85937E+13,1.0225E+14,1.02825E+14,1.04373E+14,1.0533E+14,1.05658E+14,1.0548E+14,1.04924E+14,1.04603E+14,1.04877E+14,1.05252E+14,1.06003E+14,1.07017E+14,1.08048E+14,1.08768E+14,1.09517E+14,1.10347E+14,1.11702E+14,1.13503E+14,1.15133E+14,1.16595E+14,1.18051E+14,1.19353E+14,1.20728E+14,1.22137E+14,1.23782E+14,1.25464E+14,1.27076E+14,,,
wood products 16,5.83733E+13,5.59326E+13,5.089E+13,4.91063E+13,4.94912E+13,4.9141E+13,4.90179E+13,4.92633E+13,4.9375E+13,4.8909E+13,4.8563E+13,4.86214E+13,4.87555E+13,4.90282E+13,4.90621E+13,4.85438E+13,4.84298E+13,4.81688E+13,4.79341E+13,4.80926E+13,4.85671E+13,4.88087E+13,4.87325E+13,4.84332E+13,4.79585E+13,4.76162E+13,4.74528E+13,4.73766E+13,4.74278E+13,4.76211E+13,,,
pulp paper and printing 17T18,5.6102E+14,5.73707E+14,5.5772E+14,5.48578E+14,5.34231E+14,5.27819E+14,5.188E+14,5.09611E+14,4.99672E+14,4.89183E+14,4.81608E+14,4.75557E+14,4.6947E+14,4.65388E+14,4.61739E+14,4.56948E+14,4.5124E+14,4.46026E+14,4.41651E+14,4.39129E+14,4.37757E+14,4.35872E+14,4.34068E+14,4.31053E+14,4.27843E+14,4.24713E+14,4.22371E+14,4.21156E+14,4.20094E+14,4.19258E+14,,,
refined petroleum and coke 19,8.29018E+14,1.36701E+15,1.37512E+15,1.18733E+15,1.18247E+15,1.2089E+15,1.20534E+15,1.2193E+15,1.22099E+15,1.2406E+15,1.22159E+15,1.21772E+15,1.2252E+15,1.24475E+15,1.2459E+15,1.26465E+15,1.26671E+15,1.25635E+15,1.2236E+15,1.21796E+15,1.22345E+15,1.22868E+15,1.23422E+15,1.23144E+15,1.23392E+15,1.23336E+15,1.24196E+15,1.27635E+15,1.29794E+15,1.29692E+15,,,
chemicals 20,2.79979E+15,3.00265E+15,2.86799E+15,2.9022E+15,2.99278E+15,3.12407E+15,3.21212E+15,3.27425E+15,3.2977E+15,3.31301E+15,3.35073E+15,3.40481E+15,3.45024E+15,3.51433E+15,3.575E+15,3.61962E+15,3.66027E+15,3.7039E+15,3.73941E+15,3.80451E+15,3.87561E+15,3.92438E+15,3.96895E+15,3.99256E+15,4.01546E+15,4.04183E+15,4.08036E+15,4.12819E+15,4.174E+15,4.21792E+15,,,
rubber and plastic products 22,8.11083E+13,8.07983E+13,8.02459E+13,8.06757E+13,8.16502E+13,8.33909E+13,8.43343E+13,8.47333E+13,8.50448E+13,8.5048E+13,8.5498E+13,8.65056E+13,8.75182E+13,8.87719E+13,9.03139E+13,9.14486E+13,9.2326E+13,9.32493E+13,9.40594E+13,9.52347E+13,9.68113E+13,9.81179E+13,9.94865E+13,1.00604E+14,1.01584E+14,1.02693E+14,1.0386E+14,1.05146E+14,1.06497E+14,1.08161E+14,,,
glass and glass products 231,1.07861E+14,1.04028E+14,9.7216E+13,9.65089E+13,9.44743E+13,9.42641E+13,9.24825E+13,9.02564E+13,8.79533E+13,8.52157E+13,8.29424E+13,8.11138E+13,7.98268E+13,7.91181E+13,7.87289E+13,7.80363E+13,7.72386E+13,7.68395E+13,7.7105E+13,7.75585E+13,7.79828E+13,7.83108E+13,7.77803E+13,7.75219E+13,7.74969E+13,7.78137E+13,7.7655E+13,7.74951E+13,7.76412E+13,7.75531E+13,,,
cement and other nonmetallic minerals 239,8.19884E+13,1.00802E+14,1.05756E+14,1.14561E+14,1.24965E+14,1.35806E+14,1.45942E+14,1.54095E+14,1.57106E+14,1.59587E+14,1.62234E+14,1.64705E+14,1.66614E+14,1.69348E+14,1.73042E+14,1.76518E+14,1.78081E+14,1.79805E+14,1.82604E+14,1.85535E+14,1.88401E+14,1.90059E+14,1.91059E+14,1.9282E+14,1.94355E+14,1.94978E+14,1.95273E+14,1.95649E+14,1.95615E+14,1.95357E+14,,,
iron and steel 241,3.08727E+14,2.82951E+14,2.90723E+14,2.95233E+14,3.02727E+14,3.15973E+14,3.17601E+14,3.11507E+14,3.05618E+14,2.96884E+14,2.92702E+14,2.93384E+14,2.90753E+14,2.90828E+14,2.91949E+14,2.9172E+14,2.9296E+14,2.94329E+14,2.93646E+14,2.95214E+14,2.99132E+14,3.00884E+14,3.00907E+14,2.99232E+14,2.97119E+14,2.96202E+14,2.9628E+14,2.98125E+14,2.99012E+14,2.99268E+14,,,
other metals 242,1.91343E+14,1.91032E+14,1.84285E+14,1.87088E+14,1.88787E+14,1.92698E+14,1.94619E+14,1.94853E+14,1.93736E+14,1.91816E+14,1.908E+14,1.90791E+14,1.91296E+14,1.92836E+14,1.947E+14,1.95749E+14,1.96777E+14,1.9792E+14,1.99078E+14,2.00785E+14,2.03575E+14,2.06297E+14,2.08337E+14,2.09751E+14,2.11638E+14,2.13748E+14,2.1573E+14,2.17431E+14,2.19417E+14,2.21729E+14,,,
