Unit: BTU,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,,
agriculture and forestry 01T03,4.78954E+14,5.51805E+14,5.42938E+14,5.3904E+14,5.37793E+14,5.37863E+14,5.37525E+14,5.36443E+14,5.35479E+14,5.34621E+14,5.33984E+14,5.35136E+14,5.34626E+14,5.34254E+14,5.33355E+14,5.324E+14,5.32936E+14,5.33475E+14,5.33889E+14,5.34083E+14,5.33692E+14,5.33608E+14,5.33632E+14,5.33086E+14,5.32221E+14,5.31201E+14,5.30265E+14,5.30203E+14,5.30407E+14,5.31067E+14,,,
coal mining 05,3.6806E+13,4.255E+13,4.3801E+13,3.8772E+13,3.7722E+13,3.8153E+13,3.7807E+13,3.7628E+13,3.6927E+13,3.6506E+13,3.6202E+13,3.5985E+13,3.6075E+13,3.4692E+13,3.4328E+13,3.351E+13,3.3084E+13,3.3156E+13,3.278E+13,3.2705E+13,3.2275E+13,3.2195E+13,3.2039E+13,3.1967E+13,3.1529E+13,3.1462E+13,3.1369E+13,3.1238E+13,3.1343E+13,3.1483E+13,,,
oil and gas extraction 06,1.11672E+14,1.13568E+14,1.16289E+14,1.18236E+14,1.20063E+14,1.20878E+14,1.2097E+14,1.22434E+14,1.22472E+14,1.22425E+14,1.22388E+14,1.22466E+14,1.22874E+14,1.22313E+14,1.21701E+14,1.21232E+14,1.2077E+14,1.20699E+14,1.20926E+14,1.21535E+14,1.21792E+14,1.22017E+14,1.21982E+14,1.22659E+14,1.2308E+14,1.23373E+14,1.23071E+14,1.22837E+14,1.23443E+14,1.24281E+14,,,
other mining and quarrying 07T08,1.13354E+14,1.19723E+14,1.21898E+14,1.22543E+14,1.23425E+14,1.2344E+14,1.2282E+14,1.2305E+14,1.23264E+14,1.2354E+14,1.23499E+14,1.23374E+14,1.23389E+14,1.23378E+14,1.23493E+14,1.23591E+14,1.23864E+14,1.24251E+14,1.24438E+14,1.24728E+14,1.25477E+14,1.26124E+14,1.26738E+14,1.27002E+14,1.27081E+14,1.27138E+14,1.26992E+14,1.26439E+14,1.26358E+14,1.27015E+14,,,
food beverage and tobacco 10T12,3.15661E+13,1.22225E+13,1.25899E+13,1.14827E+13,1.12442E+13,1.10318E+13,1.09593E+13,1.09398E+13,1.08511E+13,1.07735E+13,1.06931E+13,1.06138E+13,1.05555E+13,1.05254E+13,1.04947E+13,1.04482E+13,1.03992E+13,1.03726E+13,1.03401E+13,1.03335E+13,1.03058E+13,1.028E+13,1.02474E+13,1.02244E+13,1.01977E+13,1.01784E+13,1.0154E+13,1.01138E+13,1.00961E+13,1.00706E+13,,,
textiles apparel and leather 13T15,1.3093E+13,4.72615E+12,4.72625E+12,4.33141E+12,4.20735E+12,4.1084E+12,4.05815E+12,4.0234E+12,3.98451E+12,3.94478E+12,3.90518E+12,3.8697E+12,3.83861E+12,3.81102E+12,3.78406E+12,3.75322E+12,3.72425E+12,3.70012E+12,3.67386E+12,3.6558E+12,3.63241E+12,3.60702E+12,3.58065E+12,3.55611E+12,3.52964E+12,3.50708E+12,3.48425E+12,3.45769E+12,3.43468E+12,3.41333E+12,,,
wood products 16,8.16894E+12,6.48628E+12,5.18925E+12,4.70805E+12,5.04298E+12,5.34002E+12,5.69861E+12,6.02203E+12,6.04105E+12,6.00986E+12,6.07019E+12,6.12733E+12,6.1819E+12,6.18419E+12,6.09742E+12,5.90328E+12,5.93234E+12,5.98927E+12,6.04193E+12,6.14722E+12,6.24514E+12,6.31726E+12,6.28281E+12,6.28467E+12,6.34471E+12,6.45231E+12,6.54317E+12,6.60236E+12,6.6774E+12,6.77381E+12,,,
pulp paper and printing 17T18,4.58951E+12,3.94237E+12,4.27551E+12,3.81563E+12,3.76765E+12,3.78526E+12,3.82288E+12,3.86434E+12,3.81151E+12,3.776E+12,3.74691E+12,3.72374E+12,3.72075E+12,3.74338E+12,3.7638E+12,3.76332E+12,3.75982E+12,3.77483E+12,3.78353E+12,3.81987E+12,3.82783E+12,3.82852E+12,3.81785E+12,3.81243E+12,3.7982E+12,3.79421E+12,3.78998E+12,3.7573E+12,3.74096E+12,3.72474E+12,,,
refined petroleum and coke 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
chemicals 20,1.14377E+12,8.86838E+11,8.98075E+11,8.99854E+11,9.39681E+11,9.6996E+11,1.00543E+12,1.04176E+12,1.03045E+12,1.02131E+12,1.01134E+12,1.00413E+12,9.99645E+11,9.99183E+11,9.9742E+11,9.91334E+11,9.8675E+11,9.82912E+11,9.78208E+11,9.78523E+11,9.74223E+11,9.71863E+11,9.67611E+11,9.60467E+11,9.51532E+11,9.47117E+11,9.4474E+11,9.38053E+11,9.37583E+11,9.3366E+11,,,
rubber and plastic products 22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
glass and glass products 231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
