Year,Cement and other carbonates (g CO2e),Natural gas and petroleum systems (g CO2e),Iron and steel (g CO2e),Chemicals (g CO2e),Mining (g CO2e),Waste management (g CO2e),Agriculture (g CO2e),Other industries (g CO2e)
2017,6.310E+13,7.623E+13,5.449E+13,1.127E+14,0.000E+00,0.000E+00,0.000E+00,2.549E+13
2018,6.539E+13,8.611E+13,5.254E+13,1.215E+14,0.000E+00,0.000E+00,0.000E+00,2.648E+13
2019,6.737E+13,9.187E+13,5.214E+13,1.275E+14,0.000E+00,0.000E+00,0.000E+00,2.691E+13
2020,6.915E+13,9.596E+13,5.467E+13,1.271E+14,0.000E+00,0.000E+00,0.000E+00,2.734E+13
2021,7.029E+13,9.788E+13,5.678E+13,1.312E+14,0.000E+00,0.000E+00,0.000E+00,2.778E+13
2022,7.132E+13,9.923E+13,5.709E+13,1.338E+14,0.000E+00,0.000E+00,0.000E+00,2.822E+13
2023,7.217E+13,9.981E+13,5.746E+13,1.358E+14,0.000E+00,0.000E+00,0.000E+00,2.866E+13
2024,7.286E+13,1.007E+14,5.747E+13,1.380E+14,0.000E+00,0.000E+00,0.000E+00,2.910E+13
2025,7.341E+13,1.017E+14,5.723E+13,1.399E+14,0.000E+00,0.000E+00,0.000E+00,2.954E+13
2026,7.413E+13,1.031E+14,5.724E+13,1.414E+14,0.000E+00,0.000E+00,0.000E+00,2.999E+13
2027,7.468E+13,1.040E+14,5.769E+13,1.436E+14,0.000E+00,0.000E+00,0.000E+00,3.044E+13
2028,7.543E+13,1.043E+14,5.767E+13,1.459E+14,0.000E+00,0.000E+00,0.000E+00,3.089E+13
2029,7.585E+13,1.045E+14,5.780E+13,1.479E+14,0.000E+00,0.000E+00,0.000E+00,3.135E+13
2030,7.668E+13,1.048E+14,5.788E+13,1.495E+14,0.000E+00,0.000E+00,0.000E+00,3.180E+13
2031,7.784E+13,1.053E+14,5.818E+13,1.517E+14,0.000E+00,0.000E+00,0.000E+00,3.226E+13
2032,7.888E+13,1.057E+14,5.860E+13,1.538E+14,0.000E+00,0.000E+00,0.000E+00,3.272E+13
2033,7.979E+13,1.058E+14,5.896E+13,1.554E+14,0.000E+00,0.000E+00,0.000E+00,3.318E+13
2034,8.123E+13,1.060E+14,5.935E+13,1.567E+14,0.000E+00,0.000E+00,0.000E+00,3.364E+13
2035,8.253E+13,1.060E+14,5.970E+13,1.582E+14,0.000E+00,0.000E+00,0.000E+00,3.411E+13
2036,8.358E+13,1.062E+14,5.995E+13,1.599E+14,0.000E+00,0.000E+00,0.000E+00,3.458E+13
2037,8.490E+13,1.063E+14,6.007E+13,1.617E+14,0.000E+00,0.000E+00,0.000E+00,3.505E+13
2038,8.608E+13,1.065E+14,6.024E+13,1.641E+14,0.000E+00,0.000E+00,0.000E+00,3.552E+13
2039,8.685E+13,1.067E+14,6.053E+13,1.657E+14,0.000E+00,0.000E+00,0.000E+00,3.599E+13
2040,8.801E+13,1.069E+14,6.096E+13,1.671E+14,0.000E+00,0.000E+00,0.000E+00,3.646E+13
2041,8.942E+13,1.070E+14,6.135E+13,1.687E+14,0.000E+00,0.000E+00,0.000E+00,3.694E+13
2042,9.056E+13,1.070E+14,6.177E+13,1.701E+14,0.000E+00,0.000E+00,0.000E+00,3.741E+13
2043,9.182E+13,1.066E+14,6.219E+13,1.712E+14,0.000E+00,0.000E+00,0.000E+00,3.789E+13
2044,9.327E+13,1.066E+14,6.268E+13,1.728E+14,0.000E+00,0.000E+00,0.000E+00,3.837E+13
2045,9.462E+13,1.063E+14,6.290E+13,1.745E+14,0.000E+00,0.000E+00,0.000E+00,3.885E+13
2046,9.580E+13,1.062E+14,6.348E+13,1.761E+14,0.000E+00,0.000E+00,0.000E+00,3.934E+13
2047,9.711E+13,1.060E+14,6.396E+13,1.777E+14,0.000E+00,0.000E+00,0.000E+00,3.982E+13
2048,9.835E+13,1.059E+14,6.439E+13,1.800E+14,0.000E+00,0.000E+00,0.000E+00,4.031E+13
2049,9.943E+13,1.055E+14,6.491E+13,1.812E+14,0.000E+00,0.000E+00,0.000E+00,4.079E+13
2050,1.008E+14,1.053E+14,4.665E+13,1.829E+14,0.000E+00,0.000E+00,0.000E+00,4.128E+13
