Unit: dimensionless (share of fuel by industrial process),heat below 100 C,heat 100 to 200 C,heat 200 to 500 C,heat 500 to 1000 C,heat above 1000 C,Cooling,Machine Drive,Other process,Facility HVAC,Facility Lighting,Other Nonprocess
agriculture and forestry 01T03,0.585361689,0,0,0,0,0,0.185763073,0,0.194529206,0,0.034346033
coal mining 05,0,0,0,0,0,0,0,0,1,0,0
oil and gas extraction 06,0.076923077,0.252136752,0.532051282,0.138888889,0,0,0,0,0,0,0
other mining and quarrying 07T08,1,0,0,0,0,0,0,0,0,0,0
food beverage and tobacco 10T12,0.191348601,0.209572277,0.419144553,0,0,0.016357688,0.026172301,0.016357688,0.078516903,0,0.042529989
textiles apparel and leather 13T15,0.37540107,0.139572193,0.279144385,0,0,0,0.029411765,0,0.117647059,0,0.058823529
wood products 16,0.09977662,0.249441549,0.498883098,0,0,0,0.025316456,0.025316456,0.088607595,0,0.012658228
pulp paper and printing 17T18,0.307421384,0.18129979,0.36851153,0.029559748,0,0.003144654,0.037735849,0.004716981,0.04245283,0,0.025157233
refined petroleum and coke 19,0.068149916,0.223380279,0.471370251,0.123048459,0,0.005474453,0.013686131,0.051094891,0.004562044,0,0.039233577
chemicals 20,0.065793781,0.215657392,0.45507365,0.118794326,0,0.004255319,0.048742747,0.058800774,0.023210832,0,0.00967118
rubber and plastic products 22,0.050798258,0.166505402,0.35135462,0.091719078,0,0,0.066037736,0.028301887,0.226415094,0,0.018867925
glass and glass products 231,0,0,0.011148272,0.05574136,0.802675585,0.014492754,0.043478261,0,0.065217391,0,0.007246377
cement and other nonmetallic minerals 239,0.040053405,0,0.038384513,0.191922563,0.640854473,0.004672897,0.042056075,0.004672897,0.018691589,0,0.018691589
iron and steel 241,0.004806095,0.003204063,0.009612189,0.016020315,0.817036071,0.00678733,0.013574661,0.061085973,0.058823529,0,0.009049774
other metals 242,0,0.167081824,0.351751208,0.087937802,0.237432065,0,0.054347826,0.02173913,0.06884058,0,0.010869565
metal products except machinery and vehicles 25,0.082181818,0.054787879,0.12669697,0.085606061,0.472545455,0,0.010909091,0.007272727,0.145454545,0,0.014545455
computers and electronics 26,0.132267442,0.028343023,0.070857558,0.070857558,0.103924419,0,0.0625,0.03125,0.40625,0,0.09375
appliances and electrical equipment 27,0.184789441,0.039597737,0.098994343,0.098994343,0.145191703,0,0.054054054,0.027027027,0.27027027,0,0.081081081
other machinery 28,0.135658915,0.029069767,0.072674419,0.072674419,0.106589147,0.016666667,0.05,0.016666667,0.416666667,0,0.083333333
road vehicles 29,0.293023256,0.092248062,0.184496124,0,0.130232558,0,0,0.025,0.25,0,0.025
nonroad vehicles 30,0.23255814,0.073212748,0.146425495,0,0.103359173,0,0,0.037037037,0.333333333,0,0.074074074
other manufacturing 31T33,0.162790698,0.034883721,0.087209302,0.087209302,0.127906977,0,0,0,0.444444444,0,0.055555556
energy pipelines and gas processing 352T353,0,0,0,0,0,0,1,0,0,0,0
water and waste 36T39,1,0,0,0,0,0,0,0,0,0,0
construction 41T43,1,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,
EPS fuel type,,,,,,,,,,,
natural gas if,,,,,,,,,,,
