Unit: dimensionless,Boilers,Nonboiler low temp,Nonboiler med temp,Nonboiler high temp,Cooling,Machine Drive,Electrochem,Other process
electricity if,1.433,1.433,4.028,4.028,0.845,2.553,3.411,3.411
hard coal if,10.742,2.198,2.198,2.198,0.845,2.553,3.411,3.411
natural gas if,8.998,5.858,5.858,5.858,0.845,2.553,3.411,3.411
biomass if,10.742,2.198,2.198,2.198,0.845,2.553,3.411,3.411
petroleum diesel if,10.742,2.198,2.198,2.198,0.845,2.553,3.411,3.411
heat if,7.057,3.163,4.028,4.028,0.845,2.553,3.411,3.411
crude oil if,10.742,2.198,2.198,2.198,0.845,2.553,3.411,3.411
heavy or residual fuel oil if,10.742,2.198,2.198,2.198,0.845,2.553,3.411,3.411
LPG propane or butane if,8.998,2.198,2.198,2.198,0.845,2.553,3.411,3.411
hydrogen if,8.998,2.198,2.198,2.198,0.845,2.553,3.411,3.411
green hydrogen if,8.998,2.198,2.198,2.198,0.845,2.553,3.411,3.411
low carbon hydrogen if,8.998,2.198,2.198,2.198,0.845,2.553,3.411,3.411
