Unit: dimensionless,Perc Low Temp,Perc Medium and High Temp
agriculture and forestry 01T03,0.400,0.600
coal mining 05,0.400,0.600
oil and gas extraction 06,0.400,0.600
other mining and quarrying 07T08,0.400,0.600
food beverage and tobacco 10T12,0.400,0.600
textiles apparel and leather 13T15,0.400,0.600
wood products 16,0.400,0.600
pulp paper and printing 17T18,0.400,0.600
refined petroleum and coke 19,0.400,0.600
chemicals 20,0.400,0.600
rubber and plastic products 22,0.400,0.600
glass and glass products 231,0.400,0.600
cement and other nonmetallic minerals 239,0.400,0.600
iron and steel 241,0.030,0.970
other metals 242,0.400,0.600
metal products except machinery and vehicles 25,0.400,0.600
computers and electronics 26,0.400,0.600
appliances and electrical equipment 27,0.400,0.600
other machinery 28,0.400,0.600
road vehicles 29,0.400,0.600
nonroad vehicles 30,0.400,0.600
other manufacturing 31T33,0.400,0.600
energy pipelines and gas processing 352T353,0.400,0.600
water and waste 36T39,0.400,0.600
construction 41T43,0.400,0.600
