Unit: dimensionless (percent reduction in fuel use),boilers,nonboiler low temp,nonboiler med temp,nonboiler high temp,cooling,machine drive,electrochemical,other process
agriculture and forestry 01T03,0.584,0.715,0.291,0.503,0.805,0.552,0.573,0.573
coal mining 05,0.584,0.715,0.291,0.503,0.805,0.552,0.573,0.573
oil and gas extraction 06,0.591,0.659,0.285,0.480,0.805,0.552,0.556,0.556
other mining and quarrying 07T08,0.584,0.715,0.291,0.503,0.805,0.552,0.573,0.573
food beverage and tobacco 10T12,0.738,0.738,0.327,0.327,0.805,0.552,0.550,0.550
textiles apparel and leather 13T15,0.603,0.732,0.293,0.327,0.805,0.552,0.542,0.542
wood products 16,0.443,0.649,0.293,0.327,0.805,0.552,0.525,0.525
pulp paper and printing 17T18,0.641,0.749,0.283,0.488,0.805,0.552,0.576,0.576
refined petroleum and coke 19,0.435,0.640,0.292,0.340,0.805,0.552,0.526,0.526
chemicals 20,0.591,0.659,0.285,0.480,0.805,0.552,0.556,0.556
rubber and plastic products 22,0.447,0.627,0.283,0.503,0.805,0.552,0.554,0.554
glass and glass products 231,0.584,0.715,0.327,0.549,0.805,0.552,0.590,0.590
cement and other nonmetallic minerals 239,0.283,0.283,0.283,0.556,0.805,0.552,0.496,0.496
iron and steel 241,0.546,0.711,0.301,0.553,0.805,0.552,0.585,0.585
other metals 242,0.797,0.797,0.327,0.528,0.805,0.552,0.602,0.602
metal products except machinery and vehicles 25,0.618,0.737,0.293,0.487,0.805,0.552,0.575,0.575
computers and electronics 26,0.618,0.737,0.293,0.487,0.805,0.552,0.575,0.575
appliances and electrical equipment 27,0.652,0.746,0.298,0.499,0.805,0.552,0.580,0.580
other machinery 28,0.652,0.746,0.298,0.499,0.805,0.552,0.580,0.580
road vehicles 29,0.618,0.737,0.293,0.487,0.805,0.552,0.575,0.575
nonroad vehicles 30,0.618,0.737,0.293,0.487,0.805,0.552,0.575,0.575
other manufacturing 31T33,0.618,0.737,0.293,0.487,0.805,0.552,0.575,0.575
energy pipelines and gas processing 352T353,0.584,0.715,0.291,0.503,0.805,0.552,0.573,0.573
water and waste 36T39,0.584,0.715,0.291,0.503,0.805,0.552,0.573,0.573
construction 41T43,0.584,0.715,0.291,0.503,0.805,0.552,0.573,0.573
