,Year,Imp %,Year,Imp %,Year,Imp %,Year,Imp %,Year,Imp %,Year,Imp %,Year,Imp %,Year,Imp %,Year,Imp %,Year,Imp %,Year,Imp %,Year,Imp %,Year,Imp %,Year,Imp %,Year,Imp %,Year,Imp %,Year,Imp %,Year,Imp %,Year,Imp %,Year,Imp %,Year,Imp %,Year,Imp %,Year,Imp %,Year,Imp %,Year,Imp %,Year,Imp %,Year,Imp %,Year,Imp %,Year,Imp %,Year,Imp %,Year,Imp %,Year,Imp %
trans fuel economy standards,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trans LDVs feebate,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trans TDM,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trans EV subsidy,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trans EV minimum,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trans hydrogen vehicle minimum,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trans reduce EV range anxiety and charging time,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trans EV charger deployment,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trans LCFS,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trans reduce regulated pollutants,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elec renewable portfolio standards,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elec ban new power plants,2019,0,2020,0,2021,1,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elec generation subsidy,2019,0,2020,0,2021,1,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elec early retirement,2019,0,2020,0,2021,1,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elec lifetime extension (NOT USED),2019,1,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elec demand response,2019,0,2020,0,2021,1,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elec storage growth,2019,0,2020,0,2021,1,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elec transmission growth,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elec avoid TND loss,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elec reduce plant downtime,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elec change imports,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elec change exports,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elec non BAU mandated capacity construction (NOT USED),2019,1,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elec non BAU RPS qualifying resources,2019,0,2020,0,2021,1,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elec non BAU guaranteed dispatch,2019,0,2020,0,2021,1,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elec reduce soft costs,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elec capacity construction subsidy,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldgs rebate,2019,0,2020,0,2021,1,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldgs efficiency standards,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldgs device labeling,2019,0,2020,0,2021,1,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldgs contractor training,2019,0,2020,0,2021,1,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldgs new component fuel shifting,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldgs retrofitting,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldgs distributed solar subsidy,2019,0,2020,0,2021,1,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldgs min fraction distributed solar,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indst methane capture,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indst methane destruction,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indst f gas substitution,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indst f gas destruction,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indst f gas recovery,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indst f gas inspct maint retrofit,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indst cropland and rice measures,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indst livestock measures,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indst cement measures,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indst early retirement,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indst system integration,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indst CHP,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indst efficiency standards,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indst fuel type shifting,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indst reduce nonenergy product demand,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indst shift to nonanimal products,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indst reduce fossil fuel exports,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cross fuel tax,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cross carbon tax,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cross reduce BAU subsidies,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cross CCS,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cross toggle whether policies affect energy prices,2019,1,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cross toggle whether carbon tax affects process emissions,2019,1,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cross toggle whether carbon tax affects non CO2 emissions,2019,1,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cross fuel price deregulation,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat convert heat to CHP,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat fuel type shifting,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydgn shift production pathways,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
land forest set asides,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
land afforestation and reforestation,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
land forest management,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
land avoid deforestation,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
land peatland restoration,2019,0,2020,0,2021,1,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
land forest restoration,2019,0,2020,0,2021,1,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RnD transportation capital cost reduction,2019,0,2020,0,2021,0.022648,2022,0.029464,2023,0.038253,2024,0.049532,2025,0.063918,2026,0.082127,2027,0.104951,2028,0.133213,2029,0.167683,2030,0.208958,2031,0.257309,2032,0.312509,2033,0.37371,2034,0.439401,2035,0.5075,2036,0.575599,2037,0.64129,2038,0.702491,2039,0.757691,2040,0.806042,2041,0.847317,2042,0.881787,2043,0.910049,2044,0.932873,2045,0.951082,2046,0.965468,2047,0.976747,2048,0.985536,2049,0.992352,2050,0.997619
RnD electricity capital cost reduction,2019,0,2020,0,2021,0.022648,2022,0.029464,2023,0.038253,2024,0.049532,2025,0.063918,2026,0.082127,2027,0.104951,2028,0.133213,2029,0.167683,2030,0.208958,2031,0.257309,2032,0.312509,2033,0.37371,2034,0.439401,2035,0.5075,2036,0.575599,2037,0.64129,2038,0.702491,2039,0.757691,2040,0.806042,2041,0.847317,2042,0.881787,2043,0.910049,2044,0.932873,2045,0.951082,2046,0.965468,2047,0.976747,2048,0.985536,2049,0.992352,2050,0.997619
RnD building capital cost reduction,2019,0,2020,0,2021,0.022648,2022,0.029464,2023,0.038253,2024,0.049532,2025,0.063918,2026,0.082127,2027,0.104951,2028,0.133213,2029,0.167683,2030,0.208958,2031,0.257309,2032,0.312509,2033,0.37371,2034,0.439401,2035,0.5075,2036,0.575599,2037,0.64129,2038,0.702491,2039,0.757691,2040,0.806042,2041,0.847317,2042,0.881787,2043,0.910049,2044,0.932873,2045,0.951082,2046,0.965468,2047,0.976747,2048,0.985536,2049,0.992352,2050,0.997619
RnD industry capital cost reduction,2019,0,2020,0,2021,0.022648,2022,0.029464,2023,0.038253,2024,0.049532,2025,0.063918,2026,0.082127,2027,0.104951,2028,0.133213,2029,0.167683,2030,0.208958,2031,0.257309,2032,0.312509,2033,0.37371,2034,0.439401,2035,0.5075,2036,0.575599,2037,0.64129,2038,0.702491,2039,0.757691,2040,0.806042,2041,0.847317,2042,0.881787,2043,0.910049,2044,0.932873,2045,0.951082,2046,0.965468,2047,0.976747,2048,0.985536,2049,0.992352,2050,0.997619
RnD CCS capital cost reduction,2019,0,2020,0,2021,0.022648,2022,0.029464,2023,0.038253,2024,0.049532,2025,0.063918,2026,0.082127,2027,0.104951,2028,0.133213,2029,0.167683,2030,0.208958,2031,0.257309,2032,0.312509,2033,0.37371,2034,0.439401,2035,0.5075,2036,0.575599,2037,0.64129,2038,0.702491,2039,0.757691,2040,0.806042,2041,0.847317,2042,0.881787,2043,0.910049,2044,0.932873,2045,0.951082,2046,0.965468,2047,0.976747,2048,0.985536,2049,0.992352,2050,0.997619
RnD transportation fuel use reduction,2019,0,2020,0,2021,0.022648,2022,0.029464,2023,0.038253,2024,0.049532,2025,0.063918,2026,0.082127,2027,0.104951,2028,0.133213,2029,0.167683,2030,0.208958,2031,0.257309,2032,0.312509,2033,0.37371,2034,0.439401,2035,0.5075,2036,0.575599,2037,0.64129,2038,0.702491,2039,0.757691,2040,0.806042,2041,0.847317,2042,0.881787,2043,0.910049,2044,0.932873,2045,0.951082,2046,0.965468,2047,0.976747,2048,0.985536,2049,0.992352,2050,0.997619
RnD electricity fuel use reduction,2019,0,2020,0,2021,0.022648,2022,0.029464,2023,0.038253,2024,0.049532,2025,0.063918,2026,0.082127,2027,0.104951,2028,0.133213,2029,0.167683,2030,0.208958,2031,0.257309,2032,0.312509,2033,0.37371,2034,0.439401,2035,0.5075,2036,0.575599,2037,0.64129,2038,0.702491,2039,0.757691,2040,0.806042,2041,0.847317,2042,0.881787,2043,0.910049,2044,0.932873,2045,0.951082,2046,0.965468,2047,0.976747,2048,0.985536,2049,0.992352,2050,0.997619
RnD building fuel use reduction,2019,0,2020,0,2021,0.022648,2022,0.029464,2023,0.038253,2024,0.049532,2025,0.063918,2026,0.082127,2027,0.104951,2028,0.133213,2029,0.167683,2030,0.208958,2031,0.257309,2032,0.312509,2033,0.37371,2034,0.439401,2035,0.5075,2036,0.575599,2037,0.64129,2038,0.702491,2039,0.757691,2040,0.806042,2041,0.847317,2042,0.881787,2043,0.910049,2044,0.932873,2045,0.951082,2046,0.965468,2047,0.976747,2048,0.985536,2049,0.992352,2050,0.997619
RnD industry fuel use reduction,2019,0,2020,0,2021,0.022648,2022,0.029464,2023,0.038253,2024,0.049532,2025,0.063918,2026,0.082127,2027,0.104951,2028,0.133213,2029,0.167683,2030,0.208958,2031,0.257309,2032,0.312509,2033,0.37371,2034,0.439401,2035,0.5075,2036,0.575599,2037,0.64129,2038,0.702491,2039,0.757691,2040,0.806042,2041,0.847317,2042,0.881787,2043,0.910049,2044,0.932873,2045,0.951082,2046,0.965468,2047,0.976747,2048,0.985536,2049,0.992352,2050,0.997619
RnD CCS fuel use reduction,2019,0,2020,0,2021,0.022648,2022,0.029464,2023,0.038253,2024,0.049532,2025,0.063918,2026,0.082127,2027,0.104951,2028,0.133213,2029,0.167683,2030,0.208958,2031,0.257309,2032,0.312509,2033,0.37371,2034,0.439401,2035,0.5075,2036,0.575599,2037,0.64129,2038,0.702491,2039,0.757691,2040,0.806042,2041,0.847317,2042,0.881787,2043,0.910049,2044,0.932873,2045,0.951082,2046,0.965468,2047,0.976747,2048,0.985536,2049,0.992352,2050,0.997619
geoeng direct air capture,2019,0,2020,0,2050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
settings exogenous GDP adjustment,2019,0,2020,1,2021,0.699029,2022,0.488641,2023,0.341574,2024,0.23877,2025,0.166907,2026,0.116673,2027,0.081558,2028,0.057011,2029,0,2050,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
