Unit: % (share of vehicles that must be ZEVs),2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176
Alaska ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176
Arizona,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176
Arkansas,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176
California ,0,0,0,0,0.039118536,0.047811544,0.056504552,0.086930079,0.130395119,0.173860158,0.217325198,0.239057718,0.260790238,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176
Colorado ,0,0,0,0,0,0,0,0.086930079,0.130395119,0.173860158,0.217325198,0.239057718,0.260790238,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176
Connecticut,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176
Delaware ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176
District of Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176
Florida ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176
Georgia ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176
Hawaii,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176
Idaho,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176
Illinois ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176
Indiana ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176
Iowa ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176
Kansas,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176
Kentucky,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176
Louisiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176
Maine ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176,0.435040176
